Index, Torque, Thrust,Voltage,Current,RPM,Mech. Power,Elec. Power,Motor Eff,Prop Eff,System Eff
1,-0.02153,-34.4659,12,0.55392,0,0,6.64706,0, INF, NAN
2,-0.00025,-22.62159,12,0.43691,0,0,5.24297,0, INF, NAN
3,0.00363,-12.99555,12,-0.05036,0,0,-0.60432,0,#NAME?, NAN
4,-0.00569,-15.31584,12,0.15107,0,0,1.81282,0, INF, NAN
5,0.00001,-4.90126,12,0.19254,4546,0.00535,2.31045,0.23168,-91565.477,-212.13478
6,-0.00048,-20.00985,12,0.2192,4546,-0.22902,2.63034,-8.707,8737.0068,-760.7312
7,-0.01232,-3.61725,12,0.1955,4546,-5.86653,2.34602,-250.06291,61.65915,-154.18665
8,-0.01297,9.00589,12,0.18957,4546,-6.17362,2.2749,-271.38016,-145.877,395.88123
9,0.00026,-10.03083,12,0.17477,4298,0.11775,2.09719,5.61482,-8518.5107,-478.29938
10,-0.00749,-13.23357,12,0.17921,4298,-3.37105,2.15049,-156.75725,392.5658,-615.37537
11,0.00071,-2.6425,12,0.12885,4298,0.32033,1.54622,20.71711,-824.92517,-170.90065
12,0.0006,9.26496,12,0.10812,2839,0.17691,1.2974,13.63576,5237.0928,714.11768
13,-0.01246,5.12957,12,0.06961,2839,-3.70445,0.83531,-443.48157,-138.47058,614.09149
14,0.00116,-2.75585,12,0.1096,2548,0.30831,1.3152,23.4422,-893.85394,-209.53906
15,-0.01635,-23.84407,12,0.11108,2548,-4.36367,1.33296,-327.36639,546.42249,-1788.8036
16,-0.02375,3.47153,12,-0.06073,2548,-6.33819,-0.72871,869.77716,-54.77158,-476.39075
17,-0.00652,-5.86468,12,0.05036,4117,-2.81218,0.60429,-465.36667,208.54541,-970.50085
18,0.00004,-9.34754,12,-0.16588,324,0.00122,-1.99061,-0.06132,-765743,469.58054
19,-0.00011,-0.591,12,-0.16292,324,-0.0037,-1.95509,0.18946,15955.435,30.22883
20,-0.00007,-0.48737,12,-0.16885,0,0,-2.02618,0, INF, NAN
21,-0.00006,-4.9126,12,-0.15404,0,0,-1.84844,0, INF, NAN
22,-0.00011,1.07838,12,-0.16292,0,0,-1.95507,0,#NAME?, NAN
23,-0.00013,-9.40907,12,-0.16737,0,0,-2.00841,0, INF, NAN
24,-0.0001,-3.37761,12,-0.18514,0,0,-2.22169,0, INF, NAN
25,-0.00008,0.31088,12,-0.18366,0,0,-2.20391,0,#NAME?, NAN
26,-0.00006,0.12468,12,-0.16737,0,0,-2.00841,0,#NAME?, NAN
27,-0.00005,-3.80346,12,-0.16885,0,0,-2.02619,0, INF, NAN
28,-0.00006,-3.5962,12,-0.157,0,0,-1.88401,0, INF, NAN
29,-0.00006,-8.92169,12,-0.15996,0,0,-1.91955,0, INF, NAN
30,-0.00011,-1.70014,12,-0.16737,0,0,-2.0084,0, INF, NAN
31,-0.0026,-5.24291,12,0.35842,0,0,4.30102,0, INF, NAN
32,-0.00019,-2.71537,12,0.10515,0,0,1.26183,0, INF, NAN
33,-0.00012,-3.96861,12,0.11552,2876,-0.03474,1.38622,-2.50625,11423.018,-286.28979
34,-0.01264,-6.65322,12,0.11552,2876,-3.8065,1.38625,-274.59042,174.78581,-479.94513
35,0.00002,-7.38833,12,0.10663,2876,0.00652,1.27961,0.50925,-113380.97,-577.38904
36,-0.00014,-6.07193,12,0.11848,3355,-0.04951,1.42179,-3.48242,12263.378,-427.06219
37,-0.00714,10.32066,12,0.12293,3355,-2.50933,1.47511,-170.11055,-411.29227,699.65155
38,-0.00001,-4.05119,12,0.12293,3355,-0.00216,1.4751,-0.14627,187760.13,-274.63788
39,-0.00016,-1.42002,12,0.0859,3288,-0.0545,1.03081,-5.28667,2605.7605,-137.75801
40,-0.00016,-3.96861,12,0.12589,3288,-0.05646,1.51067,-3.73728,7029.3281,-262.70532
41,-0.01313,-4.19692,12,0.12737,3288,-4.52074,1.52843,-295.77634,92.83694,-274.58972
42,-0.00679,0.83874,12,0.09775,3288,-2.33671,1.17297,-199.21281,-35.89384,71.50512
43,0.00006,-4.95308,12,0.12441,3655,0.02237,1.49289,1.49812,-22146.178,-331.77704
44,-0.00022,-4.99518,12,0.15995,3655,-0.08349,1.91944,-4.34976,5982.8823,-260.24088
45,-0.00015,1.32611,12,0.11256,3655,-0.05626,1.35068,-4.16545,-2357.0247,98.18067
46,-0.00014,-3.12988,12,0.1096,2954,-0.04244,1.31516,-3.22661,7375.686,-237.98447
47,-0.00013,4.37341,12,0.13033,2954,-0.04057,1.56398,-2.59395,-10780.229,279.6337
48,-0.00014,-1.8232,12,0.14514,2954,-0.04397,1.7417,-2.52436,4146.772,-104.67931
49,-0.00664,5.38864,12,0.14514,2954,-2.05499,1.7417,-117.98738,-262.22266,309.38965
50,-0.00261,2.91129,12,0.89161,2954,-0.8061,10.69933,-7.53414,-361.15625,27.21
51,-0.00025,-9.08847,12,0.34213,3872,-0.10311,4.10552,-2.51142,8814.6279,-221.37209
52,-0.0002,-0.62177,12,0.35397,3872,-0.08278,4.2477,-1.94874,751.13605,-14.63771
53,0.00003,-6.63217,12,0.33324,3872,0.01055,3.99886,0.26383,-62861.965,-165.85135
54,-0.00168,-3.74031,12,0.35249,3872,-0.67933,4.22991,-16.0602,550.58582,-88.4252
55,-0.00022,5.77238,12,0.31695,3872,-0.08921,3.80336,-2.34559,-6470.4614,151.77046
56,-0.00018,0.5489,12,0.34805,4694,-0.08824,4.17662,-2.11268,-622.06598,13.14227
57,-0.00028,-7.38833,12,0.36434,4694,-0.13624,4.37212,-3.11608,5423.0688,-168.98735
58,-0.00013,0.02105,12,0.31991,4694,-0.06226,3.83891,-1.62184,-33.80832,0.54832
59,-0.00022,2.24904,12,0.3125,4694,-0.10914,3.75005,-2.91023,-2060.7871,59.97367
60,-0.00023,-2.0515,12,0.34509,4733,-0.11372,4.14106,-2.74607,1804.0499,-49.54051
61,-0.00023,-11.29541,12,0.31547,4733,-0.11255,3.7856,-2.97319,10035.628,-298.37866
62,-0.00026,-3.44076,12,0.34509,4733,-0.12873,4.14108,-3.10866,2672.8125,-83.08853
63,-0.00019,0.52785,12,0.3125,4733,-0.09559,3.75005,-2.54915,-552.17957,14.07589
64,-0.00188,-6.99487,12,0.35249,4733,-0.93279,4.22993,-22.05208,749.88916,-165.3662
65,-0.00026,-6.59007,12,0.39397,4773,-0.12957,4.72759,-2.74063,5086.2764,-139.39584
66,-0.00025,-1.4605,12,0.34657,4773,-0.1257,4.15882,-3.02245,1161.9133,-35.11821
67,-0.0006,-1.28563,12,0.32732,4773,-0.30155,3.92781,-7.67731,426.34039,-32.73146
68,-0.00024,-1.97864,12,0.32287,4773,-0.12173,3.87448,-3.14195,1625.3777,-51.06857
69,-0.00023,-9.62766,12,0.33324,4773,-0.11611,3.99889,-2.90366,8291.5488,-240.75807
70,-0.00166,-4.13539,12,0.35398,4715,-0.81855,4.2477,-19.27032,505.21155,-97.35591
71,-0.00021,-0.3206,12,0.3288,4715,-0.10525,3.94559,-2.66755,304.60385,-8.12547
72,-0.00027,0.42423,12,0.31991,4715,-0.13512,3.83891,-3.51978,-313.9592,11.05068
73,-0.00122,-2.49678,12,0.35842,4715,-0.60114,4.30101,-13.97673,415.3403,-58.05098
74,-0.00026,3.16064,12,0.30954,4715,-0.12857,3.71449,-3.46127,-2458.3284,85.08945
75,-0.0022,-5.01623,12,0.3525,4813,-1.11081,4.22995,-26.26067,451.58093,-118.58817
76,-0.00088,-6.71475,12,0.34953,4813,-0.44403,4.1944,-10.58616,1512.2428,-160.08847
77,0.00006,0.53919,12,0.37471,4813,0.03133,4.49654,0.69682,1720.847,11.99116
78,-0.00023,1.02656,12,0.33472,4813,-0.11395,4.01668,-2.83704,-900.85138,25.55748
79,-0.00004,-0.3627,12,0.35101,4813,-0.02053,4.21216,-0.48738,1766.7142,-8.6107
80,-0.00028,-9.34754,12,0.34805,4677,-0.13951,4.17661,-3.34038,6700.0361,-223.80663
81,-0.00024,-5.87601,12,0.32435,4677,-0.11517,3.89224,-2.95885,5102.2227,-150.96716
82,-0.00226,-0.65253,12,0.31991,4677,-1.10478,3.83893,-28.77842,59.06406,-16.9977
83,-0.00024,-9.20181,12,0.3525,4677,-0.11537,4.22995,-2.72748,7975.8335,-217.53957
84,-0.00027,0.51814,12,0.34509,4677,-0.13303,4.14106,-3.21258,-389.47519,12.51221
85,-0.00028,-2.12437,12,0.30214,4691,-0.13845,3.62565,-3.81852,1534.4351,-58.59274
86,-0.00023,6.16584,12,0.37323,4691,-0.11417,4.47874,-2.54912,-5400.6572,137.66927
87,-0.00025,2.95339,12,0.36286,4691,-0.12127,4.35436,-2.7851,-2435.3154,67.82603
88,-0.00021,1.8232,12,0.31991,4691,-0.10524,3.83893,-2.74151,-1732.3408,47.49234
89,-0.00136,1.01523,12,0.32435,4691,-0.66709,3.89226,-17.13901,-152.18649,26.08325
90,-0.00219,-3.79212,12,0.33769,4701,-1.07627,4.05222,-26.5599,352.34079,-93.58137
91,-0.00114,9.26496,12,0.34064,4701,-0.56333,4.08773,-13.78111,-1644.6628,226.65276
92,-0.00029,-1.98997,12,0.33028,4701,-0.14467,3.96332,-3.65034,1375.4823,-50.20974
93,-0.00224,-4.88021,12,0.3599,4701,-1.10484,4.3188,-25.58213,441.71194,-112.99931
94,-0.00165,-9.87539,12,0.33028,4701,-0.81277,3.96334,-20.50723,1215.027,-249.16832
95,-0.00025,-9.29572,12,0.35546,4764,-0.12316,4.26547,-2.8873,7547.877,-217.92961
96,-0.00241,-5.83391,12,0.33176,4764,-1.20476,3.98111,-30.26199,484.23752,-146.53992
97,0.00391,1973.8685,12,0.37619,4764,1.94937,4.5143,43.18201,101256.99,43724.805
98,-0.00014,11.77145,12,0.35249,4764,-0.07186,4.22993,-1.69888,-16380.809,278.28986
99,-0.00028,13.00527,12,0.32732,4764,-0.13746,3.92779,-3.49964,-9461.2227,331.1091
100,-0.00139,96.17616,12,0.35398,4763,-0.69129,4.24771,-16.2743,-13912.663,2264.189
101,-0.00031,16.53832,12,0.38063,4763,-0.15228,4.56762,-3.33398,-10860.232,362.07767
102,-0.00109,2.11465,12,0.33472,4763,-0.54537,4.01668,-13.57754,-387.74918,52.6468
103,-0.00002,0.33193,12,0.35546,4763,-0.01093,4.26547,-0.25617,-3037.7278,7.78184
104,-0.0003,-6.44596,12,0.32583,4763,-0.14731,3.91002,-3.76751,4375.772,-164.85768
105,0.00037,9.23257,12,0.34657,4747,0.18226,4.15883,4.38249,5065.5981,221.99939
106,-0.00176,-2.73642,12,0.37027,4747,-0.87599,4.44321,-19.71528,312.37949,-61.5865
107,0.00001,2.7769,12,0.31398,4747,0.00703,3.76781,0.18652,39512.832,73.7005
108,-0.00014,14.40424,12,0.33176,4747,-0.07035,3.9811,-1.76712,-20474.881,361.81543
109,-0.00029,5.72057,12,0.33176,4747,-0.14504,3.98112,-3.6431,-3944.2346,143.69228
110,-0.00027,5.77238,12,0.34657,4733,-0.13366,4.15883,-3.21394,-4318.6343,138.79829
111,0.00001,2.14542,12,0.36582,4733,0.0038,4.3899,0.08658,56446.25,48.87167
112,-0.00224,6.74551,12,0.31695,4733,-1.10952,3.80337,-29.17194,-607.96838,177.35619
113,-0.00002,-2.71537,12,0.33472,4733,-0.00769,4.01665,-0.19142,35316.887,-67.60284
114,-0.00029,8.67396,12,0.34065,4733,-0.14137,4.08776,-3.45841,-6135.5894,212.19363
115,-0.00025,3.87632,12,0.37767,4682,-0.12254,4.53208,-2.70378,-3163.3828,85.53078
116,0.04248,-1.06704,12,0.35101,4682,20.82814,4.21216,494.4761,-5.12307,-25.33237
117,-0.00138,0.92293,12,0.34361,4682,-0.67565,4.12331,-16.38603,-136.60016,22.38334
118,-0.00035,8.36307,12,0.31547,4682,-0.17271,3.78561,-4.56226,-4842.2788,220.91757
119,-0.00298,1.99969,12,0.3362,4682,-1.46296,4.03444,-36.26189,-136.68762,49.56552
120,-0.00028,1.94788,12,0.34805,4742,-0.13699,4.17663,-3.27993,-1421.9045,46.6375
121,-0.00031,3.3679,12,0.32139,4742,-0.15347,3.85669,-3.97944,-2194.4304,87.32606
122,-0.00028,11.07844,12,0.3288,4742,-0.13818,3.94556,-3.50221,-8017.3066,280.78271
123,-0.00026,6.13508,12,0.33472,4742,-0.12779,4.01666,-3.18155,-4800.8335,152.74088
124,-0.00029,1.01523,12,0.39693,4742,-0.1462,4.76312,-3.06944,-694.40472,21.31432
125,-0.00248,-1.39897,12,0.3362,4699,-1.21805,4.03442,-30.19154,114.85316,-34.67594
126,-0.0015,5.40969,12,0.35101,4699,-0.73946,4.21216,-17.55533,-731.57434,128.43027
127,-0.00023,-0.19754,12,0.35249,4699,-0.11399,4.22994,-2.6949,173.29198,-4.67005
128,-0.00027,-1.182,12,0.33916,4699,-0.13144,4.06997,-3.2294,899.302,-29.04204
129,-0.00025,-0.61205,12,0.32583,4699,-0.123,3.91001,-3.14578,497.60156,-15.65345
130,-0.0012,1.04599,12,0.32584,4730,-0.59441,3.91003,-15.20205,-175.9727,26.75146
131,-0.00021,0.0421,12,0.34361,4730,-0.10525,4.12327,-2.55255,-39.99933,1.021
132,-0.00025,3.42943,12,0.33324,4730,-0.12279,3.99891,-3.07064,-2792.8723,85.75894
133,-0.00026,-2.6425,12,0.35249,4730,-0.12762,4.22994,-3.01696,2070.677,-62.47149
134,-0.00116,5.37892,12,0.36879,4730,-0.57636,4.42542,-13.02373,-933.26501,121.5459
135,-0.00034,11.92689,12,0.35397,4716,-0.16886,4.2477,-3.97537,-7063.1182,280.78488
136,-0.00028,2.55993,12,0.40729,4716,-0.13688,4.88753,-2.80064,-1870.1661,52.37667
137,-0.00028,2.87081,12,0.33324,4716,-0.13661,3.99887,-3.4163,-2101.4067,71.79043
138,-0.00027,7.66845,12,0.33324,4716,-0.13302,3.99887,-3.32637,-5765.0015,191.76508
139,-0.00174,3.64802,12,0.35398,4716,-0.86059,4.24771,-20.25998,-423.89957,85.88198
140,-0.00024,-2.80766,12,0.31398,4737,-0.11678,3.76781,-3.09943,2404.2205,-74.51701
141,0.00318,856.03711,12,0.34213,4737,1.57916,4.10552,38.46445,54208.23,20850.9
142,0.00039,282.27197,12,0.34953,4737,0.19128,4.19437,4.56049,147567.03,6729.7754
143,-0.00031,-4.95308,12,0.33324,4737,-0.15188,3.99887,-3.79817,3261.0955,-123.86179
144,-0.00249,-3.08778,12,0.34065,4737,-1.23548,4.08777,-30.22383,249.92525,-75.53698
145,-0.00007,7.2847,12,0.32287,4707,-0.03332,3.87448,-0.85996,-21863.496,188.01758
146,-0.00028,15.60567,12,0.35694,4707,-0.13774,4.28326,-3.21575,-11329.905,364.34097
147,0.00002,3.66907,12,0.34361,4707,0.00855,4.12331,0.20735,42913.734,88.98358
148,-0.00021,0.97475,12,0.35101,4707,-0.10357,4.21218,-2.45873,-941.18402,23.14119
149,-0.00032,2.72508,12,0.33472,4707,-0.15723,4.01666,-3.91441,-1733.198,67.84452
150,-0.00031,7.61663,12,0.31102,4742,-0.15635,3.73229,-4.18923,-4871.3887,204.07391
151,-0.00038,10.82909,12,0.37619,4742,-0.18933,4.51429,-4.19394,-5719.7935,239.8847
152,-0.0003,1.38926,12,0.33176,4742,-0.14937,3.98108,-3.75212,-930.04907,34.89652
153,-0.0003,-0.02105,12,0.35101,4742,-0.14935,4.21214,-3.5457,14.09402,-0.49973
154,-0.00029,4.88021,12,0.31991,4742,-0.1452,3.83894,-3.78241,-3360.9268,127.12408
155,-0.0023,6.12375,12,0.35842,4703,-1.13272,4.30106,-26.33583,-540.62292,142.37753
156,-0.00032,9.56451,12,0.31991,4703,-0.15854,3.83892,-4.12993,-6032.6895,249.14574
157,-0.00037,-0.53919,12,0.35694,4703,-0.18208,4.28325,-4.25106,296.121,-12.58827
158,-0.00033,10.47611,12,0.36879,4703,-0.16451,4.42543,-3.71739,-6368.0527,236.72514
159,-0.00223,16.16591,12,0.35101,4703,-1.09743,4.21218,-26.05385,-1473.0646,383.79007
160,-0.00028,4.40417,12,0.32732,4718,-0.13655,3.92782,-3.47657,-3225.2397,112.12775
161,-0.0003,4.53857,12,0.37175,4718,-0.14747,4.46098,-3.30568,-3077.7156,101.73933
162,-0.00028,9.35725,12,0.34509,4718,-0.13779,4.14104,-3.32742,-6790.9526,225.96356
163,-0.0003,4.39446,12,0.33176,4718,-0.15055,3.98111,-3.78165,-2918.9004,110.38268
164,-0.00258,1.34716,12,0.34805,4718,-1.27493,4.17661,-30.52536,-105.66566,32.25483
165,-0.00037,1.33744,12,0.34213,4741,-0.18147,4.10552,-4.42008,-737.01813,32.57676
166,-0.00029,3.42943,12,0.35249,4741,-0.14337,4.22992,-3.38949,-2391.9692,81.07547
167,-0.00145,2.28952,12,0.34953,4741,-0.71831,4.19439,-17.12556,-318.73618,54.58535
168,-0.00028,10.00978,12,0.32583,4741,-0.14037,3.91002,-3.58992,-7131.1724,256.00354
169,-0.00033,2.24904,12,0.36434,4741,-0.16495,4.37212,-3.77271,-1363.4918,51.4406
170,-0.00029,4.24873,12,0.3288,4678,-0.14345,3.94559,-3.63563,-2961.8848,107.68321
171,-0.00027,15.85503,12,0.31547,4678,-0.1338,3.78561,-3.5344,-11849.94,418.82382
172,-0.00116,11.87508,12,0.34509,4678,-0.56647,4.14108,-13.67941,-2096.3113,286.76294
173,-0.00031,7.71054,12,0.31102,4678,-0.1521,3.73228,-4.07521,-5069.4453,206.59045
174,-0.00242,8.09267,12,0.35398,4678,-1.18763,4.24771,-27.95931,-681.41229,190.5182
175,-0.00033,7.95828,12,0.35249,4696,-0.16219,4.22993,-3.83438,-4906.7168,188.1423
176,-0.00035,-1.56413,12,0.34065,4696,-0.1715,4.08776,-4.19542,912.0376,-38.26378
177,-0.00029,0.37241,12,0.34805,4696,-0.14297,4.17659,-3.42322,-260.47577,8.91665
178,-0.00002,6.62245,12,0.32436,4696,-0.008,3.89227,-0.20566,-82731.844,170.14362
179,-0.00255,-2.28952,12,0.32732,4696,-1.25236,3.9278,-31.88457,182.81631,-58.2902
180,-0.0003,8.41489,12,0.32732,4682,-0.1483,3.9278,-3.7757,-5674.1597,214.23917
181,-0.00142,8.74682,12,0.34213,4682,-0.69399,4.10554,-16.90364,-1260.3754,213.04926
182,-0.00029,4.06253,12,0.29325,4682,-0.14279,3.519,-4.05774,-2845.0654,115.44546
183,-0.00151,8.02143,12,0.33768,4682,-0.74258,4.0522,-18.32548,-1080.2032,197.95245
184,-0.00031,9.11923,12,0.36879,4682,-0.15144,4.42545,-3.42193,-6021.8433,206.06352
185,-0.0003,20.40493,12,0.34805,4766,-0.14852,4.17661,-3.55595,-13738.998,488.55203
186,-0.00033,10.73518,12,0.3362,4766,-0.16438,4.03442,-4.07452,-6530.5703,266.08966
187,-0.00027,8.45537,12,0.34065,4766,-0.13379,4.08774,-3.27292,-6319.9507,206.8468
188,-0.00029,3.9168,12,0.36138,4766,-0.14439,4.33657,-3.3296,-2712.6445,90.32032
189,-0.00028,8.34202,12,0.3288,4766,-0.13876,3.94556,-3.5168,-6011.9438,211.42802
190,-0.00167,15.09887,12,0.33472,4727,-0.8257,4.01664,-20.55693,-1828.6215,375.90836
191,-0.00028,10.43563,12,0.34953,4727,-0.14072,4.1944,-3.35484,-7416.1255,248.7989
192,-0.00029,21.27443,12,0.33916,4727,-0.14263,4.06995,-3.50451,-14915.614,522.71912
193,-0.00028,18.2077,12,0.28733,4727,-0.13775,3.4479,-3.99531,-13217.488,528.08014
194,-0.00027,13.8861,12,0.34213,4727,-0.13302,4.1055,-3.23997,-10439.349,338.23132
195,-0.0003,5.59589,12,0.30214,4697,-0.14843,3.62564,-4.09387,-3770.0789,154.34209
196,-0.00032,6.34234,12,0.31991,4697,-0.15682,3.83893,-4.085,-4044.3347,165.21094
197,-0.00031,2.63279,12,0.35842,4697,-0.15338,4.30102,-3.56621,-1716.4763,61.21312
198,-0.00032,-6.00069,12,0.35102,4697,-0.15572,4.21218,-3.6969,3853.51,-142.46034
199,-0.00184,16.43469,12,0.33472,4697,-0.90525,4.01665,-22.53746,-1815.4858,409.16446
200,-0.00257,11.73097,12,0.37471,4749,-1.27681,4.49652,-28.39551,-918.77179,260.88995
201,0.00531,18.15589,12,-0.12145,4749,2.64293,-1.45743,-181.3412,686.96112,-1245.7435
202,0.00165,15.41947,12,-0.12145,2819,0.48807,-1.45743,-33.48864,3159.2437,-1057.9875
203,-0.00012,13.56551,12,-0.15108,2819,-0.03446,-1.8129,1.90093,-39363.668,-748.27466
204,-0.00013,16.9334,12,-0.16144,0,0,-1.93732,0,#NAME?, NAN
205,-0.00018,17.43049,12,-0.17477,0,0,-2.09727,0,#NAME?, NAN
206,-0.00012,16.86054,12,-0.15404,0,0,-1.84843,0,#NAME?, NAN
207,-0.00013,20.49722,12,-0.157,0,0,-1.884,0,#NAME?, NAN
208,-0.00011,19.6682,12,-0.16737,0,0,-2.00842,0,#NAME?, NAN
209,-0.00011,19.20188,12,-0.16292,0,0,-1.95509,0,#NAME?, NAN
210,-0.00012,16.05257,12,-0.14515,0,0,-1.74181,0,#NAME?, NAN
211,-0.0001,15.58624,12,-0.15996,0,0,-1.91955,0,#NAME?, NAN
212,-0.00015,16.29059,12,-0.15552,0,0,-1.86621,0,#NAME?, NAN
213,-0.00013,8.89093,12,-0.15108,0,0,-1.8129,0,#NAME?, NAN
214,-0.00014,12.68467,12,-0.14959,0,0,-1.79513,0,#NAME?, NAN
215,-0.00013,13.45054,12,-0.16292,0,0,-1.95507,0,#NAME?, NAN
216,-0.00011,9.00589,12,-0.16292,0,0,-1.95509,0,#NAME?, NAN
217,-0.00013,16.37317,12,-0.16441,0,0,-1.97286,0,#NAME?, NAN
218,-0.00018,13.59627,12,-0.16144,0,0,-1.93733,0,#NAME?, NAN
219,-0.00862,9.04637,12,-0.16144,0,0,-1.93731,0,#NAME?, NAN
220,-0.00014,13.49264,12,-0.15996,0,0,-1.91955,0,#NAME?, NAN
221,-0.00014,16.01047,12,-0.16144,0,0,-1.9373,0,#NAME?, NAN
222,-0.00015,6.02012,12,-0.15256,0,0,-1.83068,0,#NAME?, NAN
223,-0.00015,12.55999,12,-0.15996,0,0,-1.91953,0,#NAME?, NAN
224,-0.00012,17.12932,12,-0.157,0,0,-1.884,0,#NAME?, NAN
225,-0.00011,21.19185,12,-0.15848,0,0,-1.90176,0,#NAME?, NAN
226,-0.00469,-47.50356,12,-0.15404,0,0,-1.84844,0, INF, NAN
227,-0.00015,0.56024,12,-0.15996,0,0,-1.91955,0,#NAME?, NAN
228,-0.00014,21.5335,12,-0.15256,0,0,-1.83067,0,#NAME?, NAN
229,-0.00014,31.07858,12,-0.16292,0,0,-1.95509,0,#NAME?, NAN
230,-0.00016,25.27543,12,-0.15404,0,0,-1.84847,0,#NAME?, NAN
231,-0.00011,15.46157,12,-0.15108,0,0,-1.8129,0,#NAME?, NAN
232,-0.00297,6.46701,12,0.34361,0,0,4.12328,0,#NAME?, NAN
233,-0.00051,-10.8809,12,0.17477,0,0,2.09719,0, INF, NAN
